i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 9) [])))))","CONS (DECC (DIGIT 2) 9) []","C (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 9) (CONS (DECC (DIGIT 7) 7) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 9) [])))))"
1,3000,1,"C (CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 6) 9) (CONS (DECC (DIGIT 2) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DECC (DIGIT 4) 3) (CONS (DIGIT 6) (CONS (DIGIT 5) []))))))))))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
2,2010,1,"C (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 1) (CONS (DIGIT 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 5) 2) [])))))","CONS (DECC (DIGIT 5) 2) []","CONS (DECC (DIGIT 5) 2) []"
3,1350,0,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) []","C (CONS (DIGIT 6) [])"
4,2030,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 4) []))","CONS (DECC (DIGIT 4) 4) []","CONS (DECC (DIGIT 4) 4) []"
5,1360,1,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 6) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 1) 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 2) 2) (CONS (DECC (DIGIT 6) 4) (CONS (DIGIT 8) []))))))))))","CONS (DIGIT 8) []","CONS (DIGIT 8) []"
6,910,1,"C (CONS (DIGIT 8) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DIGIT 5) [])))))))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
7,610,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 9) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DIGIT 4) [])))))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
8,410,1,"C (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 9) 7) (CONS (DECC (DIGIT 3) 1) [])))","CONS (DECC (DIGIT 3) 1) []","CONS (DECC (DIGIT 3) 1) []"
9,280,1,"C (CONS (DECC (DIGIT 2) 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 0) (CONS (DIGIT 3) (CONS (DIGIT 1) [])))))))))","CONS (DIGIT 1) []","CONS (DIGIT 1) []"
10,190,1,"C (CONS (DECC (DIGIT 8) 5) (CONS (DECC (DIGIT 9) 5) (CONS (DIGIT 6) (CONS (DECC (DIGIT 3) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 3) 3) []))))))","CONS (DECC (DIGIT 3) 3) []","CONS (DECC (DIGIT 3) 3) []"
11,130,1,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
12,90,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 6) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 9) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 5) 7) []))))))))","CONS (DECC (DIGIT 5) 7) []","CONS (DECC (DIGIT 5) 7) []"
13,70,1,"C (CONS (DIGIT 5) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 0) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 7) (CONS (DECC (DIGIT 6) 2) (CONS (DIGIT 5) (CONS (DIGIT 3) (CONS (DECC (DIGIT 1) 0) [])))))))))","CONS (DECC (DIGIT 1) 0) []","CONS (DECC (DIGIT 1) 0) []"
14,50,1,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 3) 6) (CONS (DIGIT 4) [])))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
15,40,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 1) (CONS (DIGIT 3) (CONS (DIGIT 7) [])))))))))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
16,30,1,"C (CONS (DECC (DIGIT 2) 4) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 8) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 0) (CONS (DECC (DIGIT 1) 5) [])))))))))","CONS (DECC (DIGIT 1) 5) []","CONS (DECC (DIGIT 1) 5) []"
17,30,1,"C (CONS (DECC (DIGIT 2) 9) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 4) (CONS (DECC (DIGIT 9) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 3) 3) (CONS (DECC (DIGIT 6) 3) []))))))))","CONS (DECC (DIGIT 6) 3) []","CONS (DECC (DIGIT 6) 3) []"
18,30,1,"C (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 1) (CONS (DIGIT 8) (CONS (DIGIT 2) (CONS (DIGIT 0) (CONS (DIGIT 1) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 5) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 1) []))))))))))","CONS (DECC (DIGIT 4) 1) []","CONS (DECC (DIGIT 4) 1) []"
19,30,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
